Châtillon sur Loing|Loiret->32.9315755:10.4503961
La Villotte|Yonne->47.7755995:3.2450303
Saint Jean de la Ruelle|Loiret->47.9098024:1.8717431
Mapou|Rivière du Rempart->-20.0782401:57.6092257
Montaigu les Bois|Manche->48.8932969:-1.2780283
Le Charme|Loiret->47.7998458:2.9958669
Pierrefitte-Ès-Bois|Loiret->47.5073026:2.7162662
Saint Martin sur Ouanne|Yonne->47.851004849999995:3.102718013588146
Taillepied|Manche->49.3669363:-1.583064
Châtillon Coligny|Loiret->47.8226411:2.8481603
Martinvast|Manche->49.5949731:-1.6632491
Issoudun-Létrieix|Creuse->46.06003:2.14238
Briare|Loiret->47.6410716:2.7413128
Saint Julien du Sault|Yonne->48.0313398:3.2962139
Magneville|Manche->49.4470166:-1.5469716
Charny|Yonne->47.88855045:3.0957759149640065
Cerisiers|Yonne->48.1343098:3.4832538
Chénérailles|Creuse->46.1119429:2.1763417
Saint Lô d'Ourville|Manche->49.3343794:-1.6672823
Roncey|Manche->48.9897337:-1.3331217
Saint Martin du Mesnil|Manche->49.2391891:-1.2016021
Conflans sur Loing|Loiret->47.9529238:2.7876606
Folligny|Manche->48.8244308:-1.410211
Tracy sur Mer|Calvados->49.3364012:-0.6431891
Saint Laurent de Cuves|Manche->48.7514862:-1.1238938
Saint Aignan de Cramesnil|Calvados->49.0815094:-0.2806809
Saint Sauveur de Pierrepoint|Manche->32.9315727:10.450413
Jaux|Oise->49.3881042:2.7765151
Vacoas-Phoenix|Plaines Wilhems->-20.2988802:57.4927689
Soulles|Manche->49.0143615:-1.1896289
Néry|Oise->49.2835798:2.7783243
Bon Accueil|Flacq->-20.1745003:57.670382
Château-Renard|Loiret->47.9316325:2.9269125
Gouberville|Manche->49.68752675:-1.318325327530672
Saint Jean des Champs|Manche->48.8277979:-1.4647078
Golleville|Manche->49.4362132:-1.5159186
Coutances|Manche->49.047792:-1.4454857
Carentan|Manche->49.29476595:-1.252311940606591
Dol de Bretagne|Ille et Vilaine->48.5489772:-1.7521005
Benoîtville|Manche->49.5275514:-1.780226
Saint Sauveur le Vicomte|Manche->49.385446:-1.5318447
Le Mesnil Aubert|Manche->48.9464678:-1.413988
Chambeugle|Yonne->47.860233:3.04083
La Madeleine|Nord->50.6565418:3.0678164
Rouffigny|Manche->48.8038192:-1.2504934
La Haye du Puits|Manche->49.2907057:-1.5444733
Tourville sur Sienne|Manche->49.0457209:-1.5426992
Villebaudon|Manche->48.9601814:-1.1664202
Gien|Loiret->47.6918575:2.6313889
Sommauthe|Ardennes->49.4928402:4.9822844
Canisy|Manche->49.0763627:-1.1750866
Rhuis|Oise->49.307631:2.6973262
Bobigny|Seine Saint Denis->48.906387:2.4452231
Carteret|Manche->49.3779892:-1.7870469
Vignemont|Oise->49.5019632:2.7753498
Fontenoy|Yonne->47.64838:3.30636
Alligny Cosne|Nievre->47.4538908:3.0609141
Villemoutiers|Loiret->47.9953557:2.5578404
Saint André de l'Épine|Manche->49.1388593:-1.012778
La Chapelle sur Aveyron|Loiret->47.8672285:2.8598356
Thou|Loiret->47.5790082:2.9076132
Hardinvast|Manche->49.5782439:-1.646955
Nogent sur Vernisson|Loiret->47.8468879:2.7421711
Canville la Rocque|Manche->49.3438736:-1.6360696
Pontpoint|Oise->49.3023:2.65396
Vandélicourt|Oise->49.5132772:2.7932026
Pamplemousses|Pamplemousses->-20.1107201:57.5764944
Belvédère|Flacq->32.9315755:10.4503961
Canchy|Calvados->49.3297585:-0.9815916
Berthecourt|Oise->49.3504915:2.2244617
Lacroix Saint Ouen|Oise->49.356047:2.7895045
Saonnet|Calvados->49.2738889:-0.8780556
Brix|Manche->49.5451274:-1.5796477
Guéhébert|Manche->48.9698952:-1.3733768
Le Theil|Manche->49.6042209:-1.4681291940541223
Maisy|Calvados->49.381222:-1.0556758
Quibou|Manche->49.0684104:-1.200194
Corquilleroy|Loiret->48.0451539:2.6980927
Arquian|Nievre->47.5410201:2.9885892
Montaigu la Brisette|Manche->49.56417:-1.42084
Saint Lô|Manche->49.1157004:-1.0906637
Hauteville la Guichard|Manche->49.1261106:-1.3026354
Saint Martin des Besaces|Calvados->49.010610299999996:-0.8348917874097153
Mézières-en-Gâtinais|Loiret->48.034561:2.490789
Le Rozel|Manche->49.4884424:-1.8280875
Pressigny les Pins|Loiret->47.8809941:2.7515763
Picauville|Manche->49.37973705:-1.3919822168758198
Chêne-Arnoult|Yonne->47.90691205:3.0576648322724713
Cerisy la Salle|Manche->49.0257994:-1.2837743
Schönwald|Freibourg->32.9315755:10.4503961
Isles sur Suippe|Marne->49.3548635:4.199203
Ranchy|Calvados->49.2547222:-0.7552778
Étienville|Manche->49.3771758:-1.4353309
Chérencé le Héron|Manche->48.8013445:-1.1962714
Lorcy|Loiret->48.0549797:2.5352555
Saint Maurice sur Fessard|Loiret->47.9922985:2.6215518
Cheveau|Mauritius->32.9315755:10.4503961
Etienville|Manche->49.3771758:-1.4353309
Saint Jacques de Néhou|Manche->49.4178885:-1.6123899
Domjean|Manche->48.9872335:-1.031921
Creil|Oise->49.2607914:2.4733771
Brion|Yonne->47.9955011:3.4801141
Sourdeval les Bois|Manche->48.9102245:-1.2639506
Sebastopol|Flacq->-20.2909197:57.6891632
Autry Le Châtel|Loiret->47.5985716:2.6003968
Rauville la Bigot|Manche->49.5196388:-1.68158
Entrains sur Nohain|Nievre->47.4630257:3.2553919
Pimprez|Oise->49.5140048:2.9503676
Breuville|Manche->49.5369737:-1.6732627
Pontorson|Manche->48.57362635:-1.4981210717832734
Quettetot|Manche->49.4878937:-1.6670087
Grosville|Manche->49.5090533:-1.7413225
Le Mesnil Amand|Manche->48.8817759:-1.3613495
